id,place_guess,latitude,longitude,positional_accuracy,private_place_guess,private_latitude,private_longitude,public_positional_accuracy,geoprivacy,taxon_geoprivacy,coordinates_obscured,positioning_method,positioning_device,species_guess,scientific_name,common_name,iconic_taxon_name,taxon_id
4706635,"Los Cabos, MX-BS, MX",23.0163632915,-109.7166738511,403,,,,403,,open,false,,,Panamic Sergeant Major,Abudefduf troschelii,Panamic Sergeant Major,Actinopterygii,92989
4863899,"Guitarron Acapulco, Gro.",16.8339672089,-99.8586654663,,,,,,,,false,gps,gps,Petaca banderita,Abudefduf troschelii,Panamic Sergeant Major,Actinopterygii,92989
4878684,"Océano Pacífico, , BCS, MX",24.3230057008,-110.3295655227,71,,,,71,,,false,,,Panamic Sergeant Major,Abudefduf troschelii,Panamic Sergeant Major,Actinopterygii,92989
5004997,"Isla Danzante, Baja California Sur, Mexico",25.780149,-111.24004,,,,,,,,false,,,Petaca banderita,Abudefduf troschelii,Panamic Sergeant Major,Actinopterygii,92989
5085817,"La Paz, MX-BS, MX",24.4242277949,-110.3572082589,488,,,,488,,,false,,,Panamic Sergeant Major,Abudefduf troschelii,Panamic Sergeant Major,Actinopterygii,92989
5085831,"San Carlos, Son., México",27.9352706548,-111.0520363153,429,,,,429,,,false,,"",Panamic Sergeant Major,Abudefduf troschelii,Panamic Sergeant Major,Actinopterygii,92989
5112204,"Guaymas, MX-SO, MX",27.9574779454,-111.3768196158,244,,,,244,,open,false,,,Panamic Sergeant Major,Abudefduf troschelii,Panamic Sergeant Major,Actinopterygii,92989
5221568,"Los Cabos, MX-BS, MX",23.4032202929,-109.416519775,2,,,,2,,,false,,,Panamic Sergeant Major,Abudefduf troschelii,Panamic Sergeant Major,Actinopterygii,92989
5526027,"Carmen, Provincia de Puntarenas, Puntarenas, Costa Rica",9.9775047456,-84.8507004976,8,,,,8,,,false,,,Panamic Sergeant Major,Abudefduf troschelii,Panamic Sergeant Major,Actinopterygii,92989
5526048,"Carmen, Provincia de Puntarenas, Puntarenas, Costa Rica",9.9774836125,-84.8507970572,8,,,,8,,,false,,,Panamic Sergeant Major,Abudefduf troschelii,Panamic Sergeant Major,Actinopterygii,92989
5526053,"Carmen, Provincia de Puntarenas, Puntarenas, Costa Rica",9.9774836125,-84.8507970572,8,,,,8,,open,false,,,Panamic Sergeant Major,Abudefduf troschelii,Panamic Sergeant Major,Actinopterygii,92989
5561021,"Santa María Tonameca, Oax., México",15.6620252108,-96.555525362,4,,,,4,,,false,,,Petaca banderita,Abudefduf troschelii,Panamic Sergeant Major,Actinopterygii,92989
5561117,"Santa María Tonameca, Oax., México",15.6618960797,-96.555423438,4,,,,4,,open,false,,,Petaca banderita,Abudefduf troschelii,Panamic Sergeant Major,Actinopterygii,92989
5567880,"Nayarit, México",21.751384,-104.845462,187976,,,,187976,,,false,,,Petaca banderita,Abudefduf troschelii,Panamic Sergeant Major,Actinopterygii,92989
5567882,"Nayarit, México",21.751384,-104.845462,187976,,,,187976,,,false,,,Petaca banderita,Abudefduf troschelii,Panamic Sergeant Major,Actinopterygii,92989
5568057,"Nayarit, México",21.751384,-104.845462,187976,,,,187976,,,false,,,Petaca banderita,Abudefduf troschelii,Panamic Sergeant Major,Actinopterygii,92989
5881975,"Montijo, Panama",7.4523476505,-81.6709899902,3906,,,,3906,,,false,,,Panamic Sergeant Major,Abudefduf troschelii,Panamic Sergeant Major,Actinopterygii,92989
5937890,"Montijo, Panama",7.3603615309,-81.6661923357,18427,,,,18427,,open,false,,,Panamic Sergeant Major,Abudefduf troschelii,Panamic Sergeant Major,Actinopterygii,92989
5958820,"Playa Mismaloya, Mismaloya, Jal., México",20.5460576007,-105.2905015542,67,,,,67,,open,false,,,Petaca banderita,Abudefduf troschelii,Panamic Sergeant Major,Actinopterygii,92989
6164417,"Provinz Galápagos, Ecuador",-0.8879472993,-89.607796669,73,,,,73,,open,false,,,Panamic Sergeant Major,Abudefduf troschelii,Panamic Sergeant Major,Actinopterygii,92989
6256907,"Cabo San Lucas, Baja California Sur, Mexico",22.8905327,-109.9167371,4031,,,,4031,,open,false,,,Panamic Sergeant Major,Abudefduf troschelii,Panamic Sergeant Major,Actinopterygii,92989
6672822,Isla Angel de la Guarda,29.057335,-113.1228183333,,,,,,,open,false,,,Petaca banderita,Abudefduf troschelii,Panamic Sergeant Major,Actinopterygii,92989
7054646,"Los Cabos, Baja California Sur, Mexico",23.0798696,-109.7124043,72515,,,,72515,,,false,,,Petaca banderita,Abudefduf troschelii,Panamic Sergeant Major,Actinopterygii,92989
7168150,"Miguel Alemán 45, Puerto Marqués, 39890 Acapulco, Gro., México",16.7949062,-99.8372237,23,,,,23,,open,false,,,Panamic Sergeant Major,Abudefduf troschelii,Panamic Sergeant Major,Actinopterygii,92989
7266535,"Tecomán, MX-CL, MX",18.7228941691,-110.9457778931,122,,,,122,,open,false,,,Panamic Sergeant Major,Abudefduf troschelii,Panamic Sergeant Major,Actinopterygii,92989
7272397,"Puerto Peñasco, Sonora, Mexico",31.3268218,-113.5311843,9163,,,,9163,,,false,,,Panamic Sergeant Major,Abudefduf troschelii,Panamic Sergeant Major,Actinopterygii,92989
7327481,"La Paz, MX-BS, MX",24.5984206987,-110.4007744789,31,,,,31,,,false,,,Panamic Sergeant Major,Abudefduf troschelii,Panamic Sergeant Major,Actinopterygii,92989
7336565,"Mazatlán, MX-SI, MX",23.3089660538,-106.4931499958,159,,,,159,,,false,,,Petaca banderita,Abudefduf troschelii,Panamic Sergeant Major,Actinopterygii,92989
7418014,"Mazatlán, MX-SI, MX",23.309488272,-106.4933860304,138,,,,138,,,false,,,Panamic Sergeant Major,Abudefduf troschelii,Panamic Sergeant Major,Actinopterygii,92989
7576600,"Mazatlán, MX-SI, MX",23.3103750533,-106.4935255051,324,,,,324,,open,false,,,Panamic Sergeant Major,Abudefduf troschelii,Panamic Sergeant Major,Actinopterygii,92989
7576617,"Mazatlán, MX-SI, MX",23.3103750533,-106.4935255051,324,,,,324,,open,false,,,Panamic Sergeant Major,Abudefduf troschelii,Panamic Sergeant Major,Actinopterygii,92989
7625667,"Santa Cruz, EC-GA, EC",-0.2880465772,-90.561504364,500,,,,500,,open,false,,,Panamic Sergeant Major,Abudefduf troschelii,Panamic Sergeant Major,Actinopterygii,92989
7689529,"Mazatlán, MX-SI, MX",23.3091839187,-106.4944696439,333,,,,333,,,false,,,Petaca banderita,Abudefduf troschelii,Panamic Sergeant Major,Actinopterygii,92989
7689530,"Mazatlán, MX-SI, MX",23.3091839187,-106.4944696439,333,,,,333,,,false,,,Panamic Sergeant Major,Abudefduf troschelii,Panamic Sergeant Major,Actinopterygii,92989
7695529,"Compostela, MX-NA, MX",21.0468039167,-105.271324664,2,,,,2,,,false,,,Petaca banderita,Abudefduf troschelii,Panamic Sergeant Major,Actinopterygii,92989
7848751,"Puerto Ayora, Ecuador",-0.7438371363,-90.3030519,,,,,,,open,false,,,Panamic Sergeant Major,Abudefduf troschelii,Panamic Sergeant Major,Actinopterygii,92989
7848757,"Puerto Ayora, Ecuador",-0.7438763603,-90.303034968,1,,,,1,,open,false,,,Panamic Sergeant Major,Abudefduf troschelii,Panamic Sergeant Major,Actinopterygii,92989
7849464,"Isabela, EC-GA, EC",-0.9636400788,-90.955625474,8,,,,8,,open,false,,,Panamic Sergeant Major,Abudefduf troschelii,Panamic Sergeant Major,Actinopterygii,92989
7875430,"Isabela, EC-GA, EC",-0.9627034496,-90.961796902,1,,,,1,,open,false,,,Panamic Sergeant Major,Abudefduf troschelii,Panamic Sergeant Major,Actinopterygii,92989
7875437,"Isabela, EC-GA, EC",-0.9627208815,-90.961764045,1,,,,1,,open,false,,,Panamic Sergeant Major,Abudefduf troschelii,Panamic Sergeant Major,Actinopterygii,92989
7875682,"Puerto Ayora, Ecuador",-0.7437932188,-90.303194224,8,,,,8,,open,false,,,Panamic Sergeant Major,Abudefduf troschelii,Panamic Sergeant Major,Actinopterygii,92989
8732316,"ENI 4117, Pescadores, La Paz, B.C.S., México",24.3217925,-110.3247704,202,,,,202,,open,false,,,Panamic Sergeant Major,Abudefduf troschelii,Panamic Sergeant Major,Actinopterygii,92989
8736291,"Garabito, Garabito, Puntarenas, CR",9.5851990947,-84.5831829085,25966,,,,25966,,,false,,,Panamic Sergeant Major,Abudefduf troschelii,Panamic Sergeant Major,Actinopterygii,92989
8801928,"Las Ollas. Isla de La Roqueta, Guerrero, México",16.8234543624,-99.9134828413,2076,,,,2076,,,false,,,Panamic Sergeant Major,Abudefduf troschelii,Panamic Sergeant Major,Actinopterygii,92989
8835101,"Ensenada, Baja California, Mexico",28.9331952101,-113.54705966,,,,,,,open,false,,,Panamic Sergeant Major,Abudefduf troschelii,Panamic Sergeant Major,Actinopterygii,92989
8835106,"Ensenada, Baja California, Mexico",28.9331616699,-113.54734,,,,,,,open,false,,,Panamic Sergeant Major,Abudefduf troschelii,Panamic Sergeant Major,Actinopterygii,92989
8835643,"Ensenada, Baja California, Mexico",30.27659107,-114.65301961,,,,,,,open,false,,,Panamic Sergeant Major,Abudefduf troschelii,Panamic Sergeant Major,Actinopterygii,92989
8850070,"Huatulco, MX-OA, MX",15.7092119897,-96.1984455585,43,,,,43,,,false,,,Panamic Sergeant Major,Abudefduf troschelii,Panamic Sergeant Major,Actinopterygii,92989
8869393,"Piedras Blancas National Park, Golfito, Puntarenas, CR",8.6551184569,-83.2960307097,83,,,,83,,,false,,,Panamic Sergeant Major,Abudefduf troschelii,Panamic Sergeant Major,Actinopterygii,92989
8897581,"Huatulco, MX-OA, MX",15.6887819938,-96.2341403961,102,,,,102,,,false,,,Panamic Sergeant Major,Abudefduf troschelii,Panamic Sergeant Major,Actinopterygii,92989
8897601,"Huatulco, MX-OA, MX",15.6887819938,-96.2341403961,102,,,,102,,,false,,,Panamic Sergeant Major,Abudefduf troschelii,Panamic Sergeant Major,Actinopterygii,92989
9099434,"Santa Cruz, EC-GA, EC",-0.962173,-90.957121,8,,,,8,,open,false,,,Panamic Sergeant Major,Abudefduf troschelii,Panamic Sergeant Major,Actinopterygii,92989
9102784,"La Paz, MX-BS, MX",24.8533109468,-110.5839776992,48,,,,48,,open,false,,,Panamic Sergeant Major,Abudefduf troschelii,Panamic Sergeant Major,Actinopterygii,92989
9154791,"Océano Pacífico, , BCS, MX",22.8752165683,-109.8918221112,276,,,,276,,,false,,,Petaca banderita,Abudefduf troschelii,Panamic Sergeant Major,Actinopterygii,92989
9228633,"Puerto Ayora, Ecuador",-0.7528851318,-90.3107205033,12,,,,12,,open,false,,,Panamic Sergeant Major,Abudefduf troschelii,Panamic Sergeant Major,Actinopterygii,92989
9455946,"Sta Socorro, Chacala, Nay., México",21.1649477675,-105.2281545103,258,,,,258,,open,false,gps,gps,Panamic Sergeant Major,Abudefduf troschelii,Panamic Sergeant Major,Actinopterygii,92989
9456232,"Santa Elena, EC-SE, EC",-1.9342562082,-80.7876205444,488,,,,488,,open,false,,,Panamic Sergeant Major,Abudefduf troschelii,Panamic Sergeant Major,Actinopterygii,92989
9456237,"Santa Elena, EC-SE, EC",-1.9304818055,-80.7855606079,488,,,,488,,open,false,,,Panamic Sergeant Major,Abudefduf troschelii,Panamic Sergeant Major,Actinopterygii,92989
9456339,"Santa Elena, EC-SE, EC",-1.9349927251,-80.7890126109,,,,,,,open,false,,,Panamic Sergeant Major,Abudefduf troschelii,Panamic Sergeant Major,Actinopterygii,92989
9695491,"Huatulco, MX-OA, MX",15.7324075696,-96.1502838135,97,,,,97,,,false,,,Petaca banderita,Abudefduf troschelii,Panamic Sergeant Major,Actinopterygii,92989
9750036,"Bahía Chileno, Cabo San Lucas, BCS, MX",22.9482876897,-109.806580548,641,,,,641,,,false,,,Panamic Sergeant Major,Abudefduf troschelii,Panamic Sergeant Major,Actinopterygii,92989
9959371,"Los Cabos, MX-BS, MX",22.8977906101,-109.864654541,61,,,,61,,open,false,,,Petaca banderita,Abudefduf troschelii,Panamic Sergeant Major,Actinopterygii,92989
10156802,Bliss Beach,8.7005569721,-83.6845135663,,,,,,,open,false,,,Panamic Sergeant Major,Abudefduf troschelii,Panamic Sergeant Major,Actinopterygii,92989
10215729,"Wolf Island, Ecuador",1.3836146,-91.8159882,1605,,,,1605,,open,false,,,Panamic Sergeant Major,Abudefduf troschelii,Panamic Sergeant Major,Actinopterygii,92989
10263533,"Océano Pacífico, Cabo San Lucas, BCS, MX",23.3831287371,-109.4124443979,919,,,,919,,open,false,,,Panamic Sergeant Major,Abudefduf troschelii,Panamic Sergeant Major,Actinopterygii,92989
11946655,"Isla del Cano, Costa Rica",8.707268,-83.8817571,1727,,,,1727,,,false,,,Panamic Sergeant Major,Abudefduf troschelii,Panamic Sergeant Major,Actinopterygii,92989
12135919,"Playa La Ropa, Zihuatanejo, GRO, MX",17.6337378467,-101.5490739788,53,,,,53,,,false,,,Petaca banderita,Abudefduf troschelii,Panamic Sergeant Major,Actinopterygii,92989
12689930,"Acapulco de Juárez, MX-GR, MX",16.8234271855,-99.9156707525,4,,,,4,,open,false,,,Panamic Sergeant Major,Abudefduf troschelii,Panamic Sergeant Major,Actinopterygii,92989
12957174,"Los Arbolitos, Baja California Sur, Mexico",23.4041039864,-109.4252014145,218,,,,218,,open,false,,,Panamic Sergeant Major,Abudefduf troschelii,Panamic Sergeant Major,Actinopterygii,92989
13026326,"Bahia de los Suenos, Baja California Sur, Mexico",23.9806044788,-109.8352175502,314,,,,314,,open,false,,,Panamic Sergeant Major,Abudefduf troschelii,Panamic Sergeant Major,Actinopterygii,92989
13026352,"Bahia de los Suenos, Baja California Sur, Mexico",23.9806044788,-109.8352175502,314,,,,314,,open,false,,,Panamic Sergeant Major,Abudefduf troschelii,Panamic Sergeant Major,Actinopterygii,92989
13246042,"Los Sueños, far south cove",23.981088179,-109.8366916111,227,,,,227,,,false,,,Panamic Sergeant Major,Abudefduf troschelii,Panamic Sergeant Major,Actinopterygii,92989
13246056,"Los Sueños, far south cove",23.981088179,-109.8366916111,227,,,,227,,open,false,,,Panamic Sergeant Major,Abudefduf troschelii,Panamic Sergeant Major,Actinopterygii,92989
13394686,"Ensenada de Muertos, B.C.S., Mexico",23.9909313873,-109.8243102677,48,,,,48,,open,false,,,Panamic Sergeant Major,Abudefduf troschelii,Panamic Sergeant Major,Actinopterygii,92989
13937145,"Puerto Ayora, Ecuador",-0.7432918,-90.3156893,3392,,,,3392,,open,false,,,Panamic Sergeant Major,Abudefduf troschelii,Panamic Sergeant Major,Actinopterygii,92989
14022973,"Zihuatanejo, Gro., México",17.6416693,-101.5516955,4811,,,,4811,,,false,,,Panamic Sergeant Major,Abudefduf troschelii,Panamic Sergeant Major,Actinopterygii,92989
14771012,"Puntarenas, Puntarenas, Puntarenas, CR",9.826928432,-84.8971245988,12849,,,,12849,,open,false,,,Panamic Sergeant Major,Abudefduf troschelii,Panamic Sergeant Major,Actinopterygii,92989
15101652,"Santa Cruz, Ecuador",-0.5333329,-90.35,2169,,,,2169,,open,false,,,Panamic Sergeant Major,Abudefduf troschelii,Panamic Sergeant Major,Actinopterygii,92989
15148281,"Santa Cruz Island, Ecuador",-0.6393592,-90.3371889,25645,,,,25645,,open,false,,,Panamic Sergeant Major,Abudefduf troschelii,Panamic Sergeant Major,Actinopterygii,92989
15637397,"Isla La Ventana, Baja California",28.9938279365,-113.5016869702,61,,,,61,,open,false,,,Panamic Sergeant Major,Abudefduf troschelii,Panamic Sergeant Major,Actinopterygii,92989
15638797,"Hidden Reef off Isla La Ventana, Baja California",28.9919732479,-113.4987079622,244,,,,244,,open,false,,,Panamic Sergeant Major,Abudefduf troschelii,Panamic Sergeant Major,Actinopterygii,92989
15767427,"Puntarenas Province, Costa Rica",9.5424057522,-85.1121214953,602,,,,602,,,false,,,Panamic Sergeant Major,Abudefduf troschelii,Panamic Sergeant Major,Actinopterygii,92989
16186696,"Puerto Vallarta, Jalisco, Mexico",20.649551307,-105.2946821612,7143,,,,7143,,,false,,,Panamic Sergeant Major,Abudefduf troschelii,Panamic Sergeant Major,Actinopterygii,92989
16202438,"Cabo Pulmo, Los Cabos, Baja California Sur, Mexico",23.4038888889,-109.4208333333,30,,,,30,,open,false,,,Panamic Sergeant Major,Abudefduf troschelii,Panamic Sergeant Major,Actinopterygii,92989
16228648,"Bahia Santa Maria, Cabo San Lucas, Baja California Sur, Mexico",22.9290796492,-109.8153172372,80,,,,80,,,false,,,Panamic Sergeant Major,Abudefduf troschelii,Panamic Sergeant Major,Actinopterygii,92989
16620036,"Carretera a Pichilingue KM 7, HWY 11, Tecolote, 23010 La Paz, B.C.S., México",24.3222022,-110.3248497,202,,,,202,,open,false,,,Panamic Sergeant Major,Abudefduf troschelii,Panamic Sergeant Major,Actinopterygii,92989
16949481,"Punta Arena de La Ventana, Baja California Sur, Mexico",24.044719982,-109.8255801117,235,,,,235,,open,false,,,Petaca banderita,Abudefduf troschelii,Panamic Sergeant Major,Actinopterygii,92989
17169009,"Bahía de Kino, Son., México",28.8621427918,-112.0447904508,5918,,,,5918,,open,false,,,Panamic Sergeant Major,Abudefduf troschelii,Panamic Sergeant Major,Actinopterygii,92989
17398860,"Marietas Islands, Mexico",20.699641,-105.5701537,908,,,,908,,open,false,,,Panamic Sergeant Major,Abudefduf troschelii,Panamic Sergeant Major,Actinopterygii,92989
17467567,"Bahía de los Ángeles, Baja California, Mexico",28.9519153,-113.5624339,5655,,,,5655,,open,false,,,Petaca banderita,Abudefduf troschelii,Panamic Sergeant Major,Actinopterygii,92989
17811732,"La Sirenita, Playa Arbolitos, Cabo Pulmo National Park, Baja California Sur, Mexico",23.4037104969,-109.4174565078,118,,,,118,,open,false,,,Panamic Sergeant Major,Abudefduf troschelii,Panamic Sergeant Major,Actinopterygii,92989
17860860,"Isla San Pedro Martir, México",28.3736836509,-112.2990249569,26,,,,26,,open,false,,,Panamic Sergeant Major,Abudefduf troschelii,Panamic Sergeant Major,Actinopterygii,92989
17880860,"Los Cabos, Baja California Sur, Mexico",23.4030555556,-109.4163888889,,,,,,,,false,,,Petaca banderita,Abudefduf troschelii,Panamic Sergeant Major,Actinopterygii,92989
17883151,"Playa Los Arbolitos, Cabo Pulmo, Baja California Sur, Mexico",23.4051589092,-109.4251724107,72,,,,72,,open,false,,"",Panamic Sergeant Major,Abudefduf troschelii,Panamic Sergeant Major,Actinopterygii,92989
17918484,"Parque Nacional Cabo Pulmo, Cabo Pulmo, Los Cabos, MX-BS, MX",23.4447696522,-109.4242113456,66,,,,66,,,false,gps,gps,Petaca banderita,Abudefduf troschelii,Panamic Sergeant Major,Actinopterygii,92989
18072535," Isla Espíritu Santo, MX-BS, MX",24.5044218047,-110.3893446765,61,,,,61,,,false,,,Panamic Sergeant Major,Abudefduf troschelii,Panamic Sergeant Major,Actinopterygii,92989
18325448,"Coiba, PA-VR-MT, PA-VR, PA",7.4905257049,-81.6891404093,31,,,,31,,open,false,,,Panamic Sergeant Major,Abudefduf troschelii,Panamic Sergeant Major,Actinopterygii,92989
18325450,"Coiba, PA-VR-MT, PA-VR, PA",7.4890152084,-81.6912432612,31,,,,31,,,false,,,Panamic Sergeant Major,Abudefduf troschelii,Panamic Sergeant Major,Actinopterygii,92989
18349254,,28.7619642871,-112.1710388835,17582,,,,17582,,open,false,,,Panamic Sergeant Major,Abudefduf troschelii,Panamic Sergeant Major,Actinopterygii,92989
18349710,,28.7841659832,-112.1850529783,18656,,,,18656,,open,false,,,Petaca banderita,Abudefduf troschelii,Panamic Sergeant Major,Actinopterygii,92989
18442747,"Ensenada, Baja California, Mexico",29.0384689,-113.54875236,,,,,,,open,false,,,Panamic Sergeant Major,Abudefduf troschelii,Panamic Sergeant Major,Actinopterygii,92989
18477351,"Océano Pacífico, , , MX",31.2951216667,-113.5347966667,5,,,,5,,open,false,,,Panamic Sergeant Major,Abudefduf troschelii,Panamic Sergeant Major,Actinopterygii,92989
18613328,"Aguirre, CR-PU, CR",9.4207950921,-84.1683285691,211,,,,211,,,false,,,Panamic Sergeant Major,Abudefduf troschelii,Panamic Sergeant Major,Actinopterygii,92989
18613345,"Aguirre, CR-PU, CR",9.4207950921,-84.1683285691,211,,,,211,,,false,,,Panamic Sergeant Major,Abudefduf troschelii,Panamic Sergeant Major,Actinopterygii,92989
18648655,"Las Tintoreras, Puerto Villamil, Ecuador",-0.9661502902,-90.9568190052,441,,,,441,,open,false,,,Panamic Sergeant Major,Abudefduf troschelii,Panamic Sergeant Major,Actinopterygii,92989
18661567,"Cabo Pulmo, Baja California Sur, Mexico",23.4029011805,-109.4166590464,75,,,,75,,,false,,,Panamic Sergeant Major,Abudefduf troschelii,Panamic Sergeant Major,Actinopterygii,92989
18664613,"Los Tuneles, Isla Isabela, Ecuador",-1.0451762584,-91.1629152668,1784,,,,1784,,open,false,,,Panamic Sergeant Major,Abudefduf troschelii,Panamic Sergeant Major,Actinopterygii,92989
18817391,"Santa Cruz, EC-GA, EC",-0.2792116727,-90.5503036807,1696,,,,1696,,open,false,,,Panamic Sergeant Major,Abudefduf troschelii,Panamic Sergeant Major,Actinopterygii,92989
18886571,,28.8915001835,-112.1655734283,11193,,,,11193,,open,false,,,Panamic Sergeant Major,Abudefduf troschelii,Panamic Sergeant Major,Actinopterygii,92989
19094547,"Galápagos Islands, Ecuador",-0.7638920131,-89.4616447195,204,,,,204,,open,false,,,Panamic Sergeant Major,Abudefduf troschelii,Panamic Sergeant Major,Actinopterygii,92989
